Date(D/M/YYYY),PM2.5,PM10,O3,NO2,SO2
30-Jun-23,74,67,64,27,194
1-Jul-23,112,71,53,45,181
2-Jul-23,102,81,45,28,175
3-Jul-23,104,62,38,12,153
4-Jul-23,87,87,41,10,162
5-Jul-23,79,59,63,64,152
6-Jul-23,116,83,56,51,143
7-Jul-23,114,65,66,56,129
8-Jul-23,113,98,44.352,73,208
9-Jul-23,112,67,60.767,36,157
10-Jul-23,109,104,62.204,145,167
11-Jul-23,107,69,30.418,200,194
12-Jul-23,106,53,34.645,147,123
13-Jul-23,104,69,35.976,82,10.557
14-Jul-23,92,86,49.427,86,5.858
15-Jul-23,146,63,28.702,89,18.746
16-Jul-23,124,90,27.906,65,11.335
17-Jul-23,137,84,24.437,17,19.854
18-Jul-23,111,88,32.852,7,28.076
19-Jul-23,112,75,175.335,8,23.421
20-Jul-23,133,86,79.412,8,18.377
21-Jul-23,122,79,21,10,59.38
22-Jul-23,84,83,18,10,13.524
23-Jul-23,94,73,20,14,13.402
24-Jul-23,90,91,29,23,23.097
25-Jul-23,128,71,18,7,187.45
26-Jul-23,119,68,28,17,87.28
27-Jul-23,67,75,18,12,87.461
28-Jul-23,104,93,39,62,16.113
29-Jul-23,72,72,18,6,17
30-Jul-23,113,96,35,107,27.895
31-Jul-23,95,75,19,15,178.931
1-Aug-23,109,104,19,15,27.901
2-Aug-23,121,89,28,18,2.228
3-Aug-23,114,69,18,18,3.31
4-Aug-23,96,91,32,12,24.709
5-Aug-23,114,67,20,14,170.71
6-Aug-23,97,82,27,16,51.174
7-Aug-23,122,71,18,8,3
8-Aug-23,129,44,26,8,3
9-Aug-23,129,97,41,23,43
10-Aug-23,134,52,30,71,6
11-Aug-23,124,60,27,34,3
12-Aug-23,104,56,48,28,6
13-Aug-23,101,84,35,133,3
14-Aug-23,96,55,29,35,4
15-Aug-23,96,63,22,29,6
16-Aug-23,124,48,31,32,4
17-Aug-23,126,56,35,28,4
18-Aug-23,144,41,29,35,87
19-Aug-23,141,76,34,35,120
20-Aug-23,121,82,48,42,133
21-Aug-23,151,37,22,28,66
22-Aug-23,107,78,25,71,70
23-Aug-23,111,66,49,105,68
24-Aug-23,109,76,19,97,69
25-Aug-23,93,93,200,77,100
26-Aug-23,114,78,202,108,115
27-Aug-23,129,110,54,81,125
28-Aug-23,112,84,67,54,123
29-Aug-23,112,92,190,64,141
30-Aug-23,145,88,200,80,131
31-Aug-23,128,74,179,28,151
1-Sep-23,116,86,185,98,142
2-Sep-23,115,81,154,106,138
3-Sep-23,118,73,105,47,175
4-Sep-23,116,93,60,48,171
5-Sep-23,126,83,143,28,156
6-Sep-23,161,110,143,67,165
7-Sep-23,146,81,77,79,141
8-Sep-23,162,132,154,66,157
9-Sep-23,133,86,239,108,172
10-Sep-23,89,145,159,97,175
11-Sep-23,80,88,203,87,185
12-Sep-23,126,129,136,28,209
13-Sep-23,154,104,77,28,206
14-Sep-23,153,115,174,42,160
15-Sep-23,104,98,206,33,157
16-Sep-23,103,108,151,28,203
17-Sep-23,82,104,147,42,203
18-Sep-23,84,121,161,63,148
19-Sep-23,91,119,80,65,87
20-Sep-23,150,70,203,28,112
21-Sep-23,164,133,158,31,171
22-Sep-23,137,85,153,37,195
23-Sep-23,88,128,130,80,197
24-Sep-23,113,116,58,33,194
25-Sep-23,125,127,72,11,181
26-Sep-23,150,121,64,36,175
27-Sep-23,142,130,53,27,153
28-Sep-23,145,91,45,45,162
29-Sep-23,152,134,38,28,152
30-Sep-23,136,82,41,12,143
1-Oct-23,140,61,63,10,129
2-Oct-23,146,52,56,64,208
3-Oct-23,178,56,66,51,157
4-Oct-23,173,48,44.352,56,167
5-Oct-23,167,91,60.767,73,194
6-Oct-23,177,65,62.204,36,123
7-Oct-23,151,107,30.418,145,10.557
8-Oct-23,157,91,34.645,200,5.858
9-Oct-23,155,108,35.976,147,18.746
10-Oct-23,95,131,49.427,82,11.335
11-Oct-23,155,111,28.702,86,19.854
12-Oct-23,199,113,27.906,89,28.076
13-Oct-23,169,117,24.437,65,23.421
14-Oct-23,149,79,32.852,179,18.377
15-Oct-23,93,122,175.335,96,59.38
16-Oct-23,108,67,79.412,88,13.524
17-Oct-23,89,118,21,76,13.402
18-Oct-23,96,113,18,50,23.097
19-Oct-23,156,128,20,86,187.45
20-Oct-23,212,110,29,73,87.28
21-Oct-23,221,131,18,52,87.461
22-Oct-23,228,136,28,52,16.113
23-Oct-23,164,133,18,75,17
24-Oct-23,196,154,39,148,27.895
25-Oct-23,232,136,18,199,178.931
26-Oct-23,210,173,35,124,27.901
27-Oct-23,237,135,19,207,2.228
28-Oct-23,258,181,19,56,3.31
29-Oct-23,362,190,28,87,24.709
30-Oct-23,330,193,18,99,170.71
31-Oct-23,341,151,32,89,51.174
1-Nov-23,297,127,20,8.969,3
2-Nov-23,308,154,27,10.721,3
3-Nov-23,272,143,18,9.867,43
4-Nov-23,320,163,26,29.1269,6
5-Nov-23,294,184,41,19,3
6-Nov-23,352,174,30,18,6
7-Nov-23,403,173,27,17,3
8-Nov-23,367,172,48,7,4
9-Nov-23,382,209,35,8,6
10-Nov-23,158,181,29,8,4
11-Nov-23,162,215,22,10,4
12-Nov-23,172,167,31,10,87
13-Nov-23,267,201,35,14,120
14-Nov-23,252,187,29,23,133
15-Nov-23,236,55,34,7,66
16-Nov-23,295,188,48,17,70
17-Nov-23,276,97,22,12,68
18-Nov-23,283,167,25,62,69
19-Nov-23,300,124,49,6,100
20-Nov-23,285,164,19,107,115
21-Nov-23,277,149,200,15,125
22-Nov-23,263,167,202,15,123
23-Nov-23,384,167,54,18,141
24-Nov-23,401,171,67,18,131
25-Nov-23,290,181,190,12,151
26-Nov-23,365,161,200,14,142
27-Nov-23,378,187,179,16,138
28-Nov-23,358,167,185,8,175
29-Nov-23,332,200,154,8,171
30-Nov-23,225,172,105,23,156
