Date(D/M/YYYY),PM2.5,PM10,O3,NO2,SO2
23-Oct-20,241,67,19,28,112
24-Oct-20,261,58,200,42,171
25-Oct-20,249,76,202,33,195
26-Oct-20,191,55,54,28,197
27-Oct-20,192,57,67,179,194
28-Oct-20,257,78,190,96,181
29-Oct-20,284,108,200,88,175
30-Oct-20,342,76,179,76,153
31-Oct-20,215,82,185,50,162
1-Nov-20,223,98,154,86,152
2-Nov-20,239,91,105,73,143
3-Nov-20,267,180,60,52,129
4-Nov-20,241,152,143,52,208
5-Nov-20,312,109,143,75,157
6-Nov-20,364,134,77,148,167
7-Nov-20,237,114,154,199,194
8-Nov-20,267,104,239,124,123
9-Nov-20,380,113,159,207,10.557
10-Nov-20,388,109,203,56,5.858
11-Nov-20,401,125,136,87,18.746
12-Nov-20,366,123,77,99,11.335
13-Nov-20,391,87,174,89,19.854
14-Nov-20,466,106,206,8.969,28.076
15-Nov-20,303,106,151,10.721,23.421
16-Nov-20,167,50,147,9.867,18.377
17-Nov-20,167,46,161,29.1269,59.38
18-Nov-20,207,106,80,19,13.524
19-Nov-20,244,77,203,18,13.402
20-Nov-20,252,98,158,17,23.097
21-Nov-20,188,126,153,7,187.45
22-Nov-20,249,86,130,8,87.28
23-Nov-20,337,89,154,8,87.461
24-Nov-20,184,102,239,10,16.113
25-Nov-20,276,72,159,10,17
26-Nov-20,226,86,203,14,27.895
27-Nov-20,174,75,136,23,178.931
28-Nov-20,219,89,77,7,27.901
29-Nov-20,266,116,174,17,2.228
30-Nov-20,375,67,206,12,3.31
1-Dec-20,331,58,151,62,24.709
2-Dec-20,215,109,147,6,170.71
3-Dec-20,295,125,161,107,51.174
4-Dec-20,335,123,80,15,3
5-Dec-20,303,87,203,15,3
6-Dec-20,396,106,158,18,43
7-Dec-20,250,106,153,18,6
8-Dec-20,305,50,130,12,3
9-Dec-20,215,46,29,10,6
10-Dec-20,235,106,22,107,3
11-Dec-20,224,77,31,15,4
12-Dec-20,134,98,35,15,6
13-Dec-20,162,77,29,18,4
14-Dec-20,179,76,34,18,4
15-Dec-20,192,55,48,12,87
16-Dec-20,203,57,22,10,120
17-Dec-20,285,78,25,18,133
18-Dec-20,279,108,49,12,66
19-Dec-20,352,76,19,10,70
20-Dec-20,308,82,200,64,68
21-Dec-20,323,98,202,51,69
22-Dec-20,402,91,54,56,100
23-Dec-20,400,180,67,73,115
24-Dec-20,429,152,190,36,125
25-Dec-20,433,109,200,145,123
26-Dec-20,358,134,179,200,141
27-Dec-20,195,114,185,147,131
28-Dec-20,199,104,154,82,151
29-Dec-20,259,113,105,86,142
30-Dec-20,341,109,60,89,138
31-Dec-20,376,125,143,65,175
1-Jan-21,378,123,143,179,171
2-Jan-21,334,87,77,96,156
3-Jan-21,241,106,154,88,165
4-Jan-21,201,106,239,76,141
5-Jan-21,145,50,159,50,157
6-Jan-21,147,46,203,86,172
7-Jan-21,182,106,136,73,175
8-Jan-21,186,77,77,52,185
9-Jan-21,230,98,174,52,209
10-Jan-21,226,126,206,75,206
11-Jan-21,366,86,151,148,160
12-Jan-21,304,89,147,199,157
13-Jan-21,312,102,161,124,203
14-Jan-21,280,72,80,207,203
15-Jan-21,386,86,203,56,148
16-Jan-21,316,75,158,87,87
17-Jan-21,234,89,153,99,112
18-Jan-21,291,116,130,89,171
19-Jan-21,255,67,32.852,8.969,195
20-Jan-21,224,58,30,10.721,197
21-Jan-21,261,109,27,9.867,194
22-Jan-21,228,125,48,29.1269,181
23-Jan-21,270,123,35,19,175
24-Jan-21,227,87,29,18,153
25-Jan-21,237,106,22,17,162
26-Jan-21,232,106,31,7,152
27-Jan-21,258,50,35,8,143
28-Jan-21,230,46,29,8,129
29-Jan-21,258,106,34,10,208
30-Jan-21,229,77,48,10,157
31-Jan-21,274,98,22,14,167
1-Feb-21,312,126,25,23,194
2-Feb-21,369,86,49,7,123
3-Feb-21,288,89,19,17,10.557
4-Feb-21,142,102,200,12,5.858
5-Feb-21,157,72,202,62,18.746
6-Feb-21,227,86,54,6,11.335
7-Feb-21,204,75,67,107,19.854
8-Feb-21,218,89,190,15,28.076
9-Feb-21,273,116,200,15,23.421
10-Feb-21,313,67,179,18,18.377
11-Feb-21,364,58,185,18,59.38
12-Feb-21,380,75,154,12,13.524
13-Feb-21,223,89,105,14,13.402
14-Feb-21,295,116,60,16,23.097
15-Feb-21,301,67,143,8,187.45
16-Feb-21,360,58,143,8,87.28
17-Feb-21,411,58,77,23,87.461
18-Feb-21,313,76,154,71,16.113
19-Feb-21,252,55,239,34,17
20-Feb-21,275,57,159,28,27.895
21-Feb-21,338,78,203,133,178.931
22-Feb-21,227,108,136,35,27.901
23-Feb-21,178,76,77,29,2.228
24-Feb-21,232,82,174,32,3.31
25-Feb-21,163,98,206,28,24.709
26-Feb-21,208,91,151,35,170.71
27-Feb-21,164,180,147,35,51.174
28-Feb-21,190,152,161,42,3
1-Mar-21,156,109,80,28,3
2-Mar-21,159,134,203,71,43
3-Mar-21,200,114,158,105,6
4-Mar-21,209,104,153,97,3
5-Mar-21,183,113,130,77,6
6-Mar-21,174,109,154,108,3
7-Mar-21,112,125,239,81,4
8-Mar-21,131,123,159,54,6
9-Mar-21,217,87,203,64,4
10-Mar-21,254,106,136,80,4
11-Mar-21,173,106,77,28,87
12-Mar-21,108,50,174,98,120
13-Mar-21,127,46,206,106,133
14-Mar-21,162,106,151,47,66
15-Mar-21,157,77,147,48,70
16-Mar-21,183,98,161,28,68
17-Mar-21,201,126,80,67,69
18-Mar-21,220,86,203,79,100
19-Mar-21,152,89,158,66,115
20-Mar-21,171,102,153,108,125
21-Mar-21,151,72,130,97,123
22-Mar-21,131,86,29,87,141
23-Mar-21,96,75,22,28,131
24-Mar-21,128,89,31,28,151
25-Mar-21,139,116,35,42,142
26-Mar-21,145,67,29,33,138
27-Mar-21,185,58,34,28,175
28-Mar-21,179,121,48,42,171
29-Mar-21,168,119,22,63,156
30-Mar-21,205,70,25,65,165
31-Mar-21,154,133,49,28,141
1-Apr-21,103,85,19,31,157
2-Apr-21,111,128,200,37,172
3-Apr-21,170,116,202,80,175
4-Apr-21,197,127,54,33,185
5-Apr-21,154,121,67,11,209
6-Apr-21,150,130,190,36,206
7-Apr-21,131,91,200,27,160
8-Apr-21,113,134,179,45,157
9-Apr-21,137,82,185,28,203
10-Apr-21,156,61,154,12,203
11-Apr-21,159,52,105,10,148
12-Apr-21,120,56,60,64,87
13-Apr-21,150,48,143,51,112
14-Apr-21,133,91,143,56,171
15-Apr-21,136,65,77,73,195
16-Apr-21,116,107,154,36,197
17-Apr-21,121,91,239,145,194
18-Apr-21,133,108,159,200,181
19-Apr-21,127,131,203,147,175
20-Apr-21,175,111,136,82,153
21-Apr-21,130,113,77,86,162
22-Apr-21,106,117,174,89,152
23-Apr-21,57,79,206,65,143
24-Apr-21,123,37,151,179,129
25-Apr-21,139,84,147,96,208
26-Apr-21,217,72,161,88,157
27-Apr-21,215,95,80,76,167
28-Apr-21,189,92,203,50,194
29-Apr-21,159,114,158,86,123
30-Apr-21,141,131,153,73,10.557
1-May-21,159,127,130,52,5.858
2-May-21,149,127,32.852,52,18.746
3-May-21,148,48,175.335,75,11.335
4-May-21,155,76,79.412,148,19.854
5-May-21,138,64,21,199,28.076
6-May-21,150,64,18,124,23.421
7-May-21,153,85,20,207,18.377
8-May-21,137,98,29,56,59.38
9-May-21,168,110,18,87,13.524
10-May-21,158,42,28,99,13.402
11-May-21,113,77,18,89,23.097
12-May-21,132,77,39,8.969,187.45
13-May-21,82,68,18,10.721,87.28
14-May-21,105,82,35,9.867,87.461
15-May-21,135,92,19,29.1269,16.113
16-May-21,133,101,19,19,17
17-May-21,111,109,28,18,27.895
18-May-21,128,50,18,17,178.931
19-May-21,128,76,32,7,27.901
20-May-21,120,55,20,8,2.228
21-May-21,68,57,27,8,3.31
22-May-21,114,78,18,10,24.709
23-May-21,107,108,26,10,170.71
24-May-21,121,76,41,14,51.174
25-May-21,129,82,30,23,3
26-May-21,127,98,27,7,3
27-May-21,140,91,48,17,43
28-May-21,164,180,35,12,6
29-May-21,178,152,29,62,3
30-May-21,104,109,22,6,6
31-May-21,148,134,31,107,3
1-Jun-21,78,114,35,15,4
2-Jun-21,122,104,29,15,6
3-Jun-21,104,113,34,18,4
4-Jun-21,142,109,48,18,4
5-Jun-21,107,125,22,12,87
6-Jun-21,118,123,25,14,120
7-Jun-21,132,87,49,16,133
8-Jun-21,121,106,19,8,66
9-Jun-21,141,106,200,8,70
10-Jun-21,153,50,202,23,68
11-Jun-21,120,46,54,71,69
12-Jun-21,121,106,67,34,100
13-Jun-21,83,77,190,28,115
14-Jun-21,120,98,200,133,125
